respondent,partner,frequency,partner_norm,partner_clean,freq_clean
R35,Terry Fox Foundation,Seldom (once a month or less)  ,terry fox foundation,Terry Fox Foundation,Seldom
R35,CNIB,Seldom (once a month or less)  ,cnib,CNIB,Seldom
R35,local school board,Regularly (once a week or more),local school board,local school board,Regularly
R37,RQMO,Occasionnellement (quelques fois par mois),rqmo,RQMO,Occasionally
R37,Handicap sans pauvreté,Occasionnellement (quelques fois par mois),handicap sans pauvreté,Handicap sans pauvreté,Occasionally
R37,Centre Constance Ledbrig,Depuis 1 an régulièrement ,centre constance ledbrig,Centre Constance Ledbrig,Regularly
R38,City of Kingston,Occasionally (a few times a month),city of kingston,City of Kingston,Occasionally
R38,Kingston Access Services,Seldom (once a month or less)  ,kingston access services,Kingston Access Services,Seldom
R39,Capitol Region District Disability Access Commission,Regularly (once a week or more),capitol region district disability access commission,Capitol Region District Disability Access Commission,Regularly
R39,Victoria Disability Resource Centre,Occasionally (a few times a month),victoria disability resource centre,Victoria Disability Resource Centre,Occasionally
R39,Pacific DAWN,Seldom (once a month or less)  ,pacific dawn,Pacific DAWN,Seldom
R40,March of Dimes,Occasionally (a few times a month),march of dimes,March of Dimes,Occasionally
R40,Brain injury society toronto,Occasionally (a few times a month),brain injury society toronto,Brain injury society toronto,Occasionally
R40,OBia,Seldom (once a month or less)  ,obia,OBia,Seldom
R41,Disability Without Poverty - I have participated in their forum and have sent letters to my MP and MPP about disabled people not having enough to live on.,Seldom (once a month or less)  ,disability without poverty - i have participated in their forum and have sent letters to my mp and mpp about disabled people not having enough to live on,Disability Without Poverty - I have participated in their forum and have sent letters to my MP and MPP about disabled people not having enough to live on.,Seldom
R44,Sur les médias sociaux,Régulièrement (une fois par semaine ou plus),sur les médias sociaux,Sur les médias sociaux,Regularly
R44,abilitywithpauvrety,Rarement (une fois par mois ou moins)  ,abilitywithpauvrety,abilitywithpauvrety,Seldom
R44,et différentes personnes sur les réseaux pour faire pression aux gouvernements,Régulièrement (une fois par semaine ou plus),et différentes personnes sur les réseaux pour faire pression aux gouvernements,et différentes personnes sur les réseaux pour faire pression aux gouvernements,Regularly
R45,Disability Without Poverty,Seldom (once a month or less)  ,disability without poverty,Disability without poverty.,Seldom
R45,March of Dimes Canada,Seldom (once a month or less)  ,march of dimes canada,March of Dimes,Seldom
R45,Leadnow,Seldom (once a month or less)  ,leadnow,Leadnow,Seldom
R46,Mostly with friends with filling out & supporting email campaigns,Regularly (once a week or more),mostly with friends with filling out  supporting email campaigns,Mostly with friends with filling out & supporting email campaigns,Regularly
