resp_id,language,connection_type,issues,partners_raw,freq1,freq2,freq3,partners_linked,connection_category,issue_category,primary_connection,primary_issue
Rnan,EN,"Health,Education,Leisure,Advocacy (i.e., civil society organization, disabled persons organization)","Special needs and Neurodivergent children and their caregivers, and adults with Long COVID and related disabilities ","I started a local support group for parents of special needs and Neurodivergent kids in my neighborhood that now consists of several hundred families. Among other topics, we sometimes discuss disability rights. 

I am also an active member of several Long COVID support groups that also sometimes discuss disability rights/policy.",Regularly (once a week or more),Regularly (once a week or more),,No,Person with Disability;Advocate/CSO;Health;Education;Leisure,Children/Youth,Person with Disability,Children/Youth
Rnan,EN,"Advocacy (i.e., civil society organization, disabled persons organization),Other","Indigenous, children, autism, adults brain injuries, ","MLA’s Brian Jean and Tany Yao, as well as Laila Goodridge. Attend human rights conferences and information sessions. ",Regularly (once a week or more),Seldom (once a month or less),Occasionally (a few times a month),Yes,Person with Disability;Advocate/CSO,Children/Youth;Indigenous,Person with Disability,Children/Youth
Rnan,EN,Other: I have disabilities myself ,Not employement but I have a developmental disability ,,Seldom (once a month or less),Seldom (once a month or less),Seldom (once a month or less),No,Other,Employment;Health,Other,Employment
Rnan,EN,"Health,Education,Advocacy (i.e., civil society organization, disabled persons organization)",Children/Teens,"School administration/teachers, fellow student with disabilities, and Specialists/healthcare profesionals",Seldom (once a month or less),Occasionally (a few times a month),Seldom (once a month or less),No,Person with Disability;Advocate/CSO;Health;Education,Children/Youth,Person with Disability,Children/Youth
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,Other,Children ,"Education, FSCD, community meetings ",Occasionally (a few times a month),Occasionally (a few times a month),Seldom (once a month or less),Yes,Other,Children/Youth,Other,Children/Youth
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,"Health,Research,Advocacy (i.e., civil society organization, disabled persons organization)","Children, employment, caregiving","Spinal Cord Injury Ontario, Canadian Centre for Caregiving Excellence, CanCHILD",Occasionally (a few times a month),Occasionally (a few times a month),Occasionally (a few times a month),No,Person with Disability;Advocate/CSO;Researcher;Health,Employment;Children/Youth,Person with Disability,Employment
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,"Health,Education,Research,Leisure",Children and adults ,"Women’s centre 
Librarian 
Home ",Regularly (once a week or more),Occasionally (a few times a month),Regularly (once a week or more),No,Researcher;Health;Education;Leisure,Children/Youth,Researcher,Children/Youth
Rnan,EN,"Advocacy (i.e., civil society organization, disabled persons organization)","Employment, skills development, support services, community programs, advocacy","CNIB, Disability Without Poverty, Inclusion Canada",Occasionally (a few times a month),Regularly (once a week or more),Occasionally (a few times a month),Yes,Person with Disability;Advocate/CSO,Employment,Person with Disability,Employment
Rnan,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,"Advocacy (i.e., civil society organization, disabled persons organization)","The National ME/FM Action Network is a registered charity working on behalf of Canadians with Myalgic Encephalomyelitis/ Chronic Fatigue Syndrome, Fibromyalgia or both. A key impairment with these conditions is a reduction in the overall amount of physical, cognitive and emotional activity people can handle. Generally, people with reduced activity levels cut back their social and recreational activities first, then work or education, then family and household activities, then self-care. Cutting back activities reduces participation in society  Even though our people’s participation in society is reduced because of long-term impairment, ME and FM were not traditionally considered as disabling. Our people receive both inadequate health care support and inadequate social support.","We would very much like to collaborate with the federal government and others to implement CRPD rights for Canadians with Myalgic Encephalomyelitis, Fibromyalgia or both. However, we are having great difficulty finding officials and others willing to pay attention to the ME/FM community. This unwillingness is a major barrier.

The questions in this survey assume collaboration. In the absence of collaboration, we do not know how to complete this survey. 

Our story is an important one and we hope it gets attention in your research.


      ",Seldom (once a month or less),Seldom (once a month or less),,No,Person with Disability;Advocate/CSO,Employment;Health;Education,Person with Disability,Employment
Rnan,EN,Other: I have been incarcerated and force-drugged for an ostensible mental health condition,psychiatric survivors' rights,"Mad Canada Shadow Report Group, Tina Minkowitz, Mindfreedom International",Regularly (once a week or more),Occasionally (a few times a month),Occasionally (a few times a month),No,Health,Rights/Policy,Health,Rights/Policy
