resp_id,language,connection_type,issues,partners_raw,freq1,freq2,freq3,partners_linked,connection_category,issue_category,primary_connection,primary_issue
R39,EN,I’m a person with a disability;,"Accessibility, built environment, advocacy.
I currently sit on the BOD for the CRD Disability Access Commission

Previously I was co-chair BOD for the Victoria Disability Resource Centre.","Capitol Region District Disability Access Commission, Victoria Disability Resource Centre, Pacific DAWN",Regularly (once a week or more),Occasionally (a few times a month),Seldom (once a month or less)  ,No,Person with Disability,Accessibility/Inclusion,Person with Disability,Accessibility/Inclusion
R40,EN,I’m a person with a disability;,Barrier free housing and communi6spave,"March of Dimes, Brain injury society toronto, OBia",Occasionally (a few times a month),Occasionally (a few times a month),Seldom (once a month or less)  ,No,Person with Disability,Housing;Accessibility/Inclusion,Person with Disability,Housing
R41,EN,I’m a person with a disability;,"Employment, Housing, Federal/Provincial government not giving enough for disabled people to live on.",Disability Without Poverty - I have participated in their forum and have sent letters to my MP and MPP about disabled people not having enough to live on. ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability,Employment;Housing,Person with Disability,Employment
R42,FR,Je suis une personne en situation de handicap;,,,,,,,Other,Unknown,Other,Unknown
R43,FR,Je suis une personne en situation de handicap;,La situation des handicapés dans leur ensemble ,,,,,,Other,Other,Other,Other
R44,FR,Je suis une personne en situation de handicap;,Droit des personnes handicapées pauvreté inégalités ,"Sur les médias sociaux, abilitywithpauvrety, et différentes personnes sur les réseaux pour faire pression aux gouvernements ",Régulièrement (une fois par semaine ou plus),Rarement (une fois par mois ou moins)  ,Régulièrement (une fois par semaine ou plus),Oui,Other,Poverty/Income,Other,Poverty/Income
R45,EN,I’m a person with a disability;I’m a family member of a person with a disability;,"Financial compensation (Canada Disability Benefit), employment (March of Dimes Canada), housing (Leadnow)","Disability Without Poverty, March of Dimes Canada, Leadnow",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability;Family/Caregiver,Employment;Poverty/Income;Housing,Person with Disability,Employment
R46,EN,I’m a person with a disability;I’m a family member of a person with a disability;,"Primarily the ones that affect me, my friends, and my family.  This includes issues around AISH, their proposed changes with ADAP (what a HORRID idea THAT is!), and issues around employment.","Mostly with friends with filling out & supporting email campaigns, occasional in person protests (like at the legislature in Edmonton), There aren't any particular organizations I partner with per se.  I engage with my sister (mental health disability), and my friends G and J (not sharing full names for privacy reasons).",Regularly (once a week or more),Regularly (once a week or more),Regularly (once a week or more),Yes,Person with Disability;Family/Caregiver,Employment,Person with Disability,Employment
R47,FR,Je suis une personne en situation de handicap;Je travaille dans le domaine de l’éducation;,Promotion du braille; promotion de l'accessibilité pour les personnes aveugles ou ayant une basse vision; promotion des services en français pour les personnes en situation de handicap,Braille Literacy Canada; Alliance for Equality of Blind Canadians; Fable,Régulièrement (une fois par semaine ou plus),Occasionnellement (quelques fois par mois),Occasionnellement (quelques fois par mois),Non,Education,Accessibility/Inclusion,Education,Accessibility/Inclusion
R48,EN,"I’m a person with a disability;I’m a family member of a person with a disability;I work in healthcare;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);",I am the executive director of the brain injury association in sarnia lambton,"ontario brain injury association; canadian brain injury association, march of dimes",Regularly (once a week or more),Occasionally (a few times a month),Seldom (once a month or less)  ,Yes,Person with Disability;Family/Caregiver;Advocate/CSO;Health,Other,Person with Disability,Other
